x_p1,y_p1,x_p2,y_p2,x_p3,y_p3,x_p4,y_p4,x_p5,y_p5,x_p6,y_p6,x_p7,y_p7,x_p8,y_p8
-43.828992799503126,4.663386345609769,-34.99331683594209,-0.0035311628015379038,-85.91708890718755,37.12250887991957,-68.02800613799424,-7.919953113744802,-75.05429034684363,-38.024316544482375,-47.02794079219371,-80.62156719221781,-94.92156677593067,-49.21769555682525,-96.20321199429145,-13.505533742783934
-44.03623349691446,4.219557944595735,-34.98770026492395,-0.005742846242865272,-85.74073613848498,37.17008277524999,-68.03928611884223,-7.946451280407395,-76.0542903468436,-37.83225179471668,-47.7661001969841,-80.2560749348847,-95.85224805901849,-49.14778823157643,-96.23749849728033,-13.41471101867337
-44.21854900914229,3.7642482907493964,-34.980302154961635,-0.008040759223798075,-85.50056000009201,37.24257414953962,-68.05242032062388,-7.97253033776463,-77.0542903468436,-37.606027561152644,-48.56816876486516,-79.89720556337434,-96.79915812551326,-49.013953225150644,-96.28085922438603,-13.282556703369067
-44.37590921746515,3.297569737069927,-34.97116668561004,-0.010136214793722058,-85.19335642449471,37.340758636534375,-68.067146035212,-7.997265572599268,-78.05429034684359,-37.34303333607471,-49.43539900938474,-79.544481432506,-97.76320986228586,-48.812956368199934,-96.33262828529209,-13.10644669511376
-44.50823680091789,2.819487219874686,-34.96042761932864,-0.011721417917244856,-84.81447318555763,37.4660109568567,-68.08327953576523,-8.019577022577185,-79.05429034684357,-37.04046205886303,-50.37398849920595,-79.20030496776329,-98.7464882670868,-48.53943932024515,-96.39221853976453,-12.882143998220549
-44.61590433152115,2.3307403368477213,-34.94865269313554,-0.01243160211651163,-84.3669050470609,37.61356558741315,-68.09950476156014,-8.039193138431802,-80.05429034684354,-36.69458626908264,-51.36193246766996,-78.84596370673198,-99.74318776599898,-48.198397458350165,-96.456206964406,-12.614597765340083
-44.69942741761301,1.8324183383594113,-34.93661475692259,-0.011965645197503889,-83.85640633499538,37.776689033216975,-68.11413216396856,-8.05610898407317,-81.05429034684353,-36.300990124786765,-52.36730856690306,-78.45484483468799,-100.74465170192184,-47.798314918199054,-96.52038004460348,-12.311683714947218
-44.7591859378914,1.3254715333746239,-34.9250759159775,-0.010164638750061598,-83.2862577058285,37.95076957071234,-68.12582763596671,-8.070022935134743,-82.05429034684352,-35.854854577252354,-53.36739785454771,-78.00633815816335,-101.74467601576256,-47.34390645916008,-96.58155852327809,-11.977826842459748
-44.79518998805464,0.8101984206919577,-34.914609642209605,-0.007049021370411756,-82.65205887445907,38.1369869967956,-68.13426213467051,-8.0797901667996,-83.0542903468435,-35.3512669841308,-54.3673978545477,-77.49938433964547,-102.74467601629703,-46.82892966789558,-96.63904634881,-11.607953976171594
-44.80764170948294,0.2871268601136442,-34.90596430966907,-0.0027363795164338724,-81.95067244107442,38.335248403206144,-68.13883009789964,-8.084390493937017,-84.05429034684349,-34.784501974936305,-55.36739785454769,-76.92857196580871,-103.74468118218866,-46.24848576764276,-96.69133367226192,-11.198459372081771
-44.79689130394436,-0.2430742437811257,-34.89999182178282,0.002500430204268792,-81.17890359522359,38.54526520427605,-68.1388542185181,-8.08278546492895,-85.05429034684347,-34.147967868382096,-56.36739785454769,-76.28759265924518,-104.74473951778471,-45.59701953313049,-96.73657670434218,-10.745501901630426
-44.76345637620826,-0.7795812061240972,-34.89760812278442,0.008198236556189585,-80.3332765406862,38.76665239873196,-68.13359221280058,-8.073901112193546,-86.05429034684346,-33.43398174516136,-57.367397854547676,-75.56931797499018,-105.74449420026606,-44.86816119469844,-96.77256554072163,-10.24480275386096
-44.70732354179923,-1.3220198321507286,-34.89948193015633,0.013752155030561288,-79.40444133234408,39.00073597876826,-68.12196611866298,-8.056076017423063,-87.05429034684344,-32.63206983194591,-58.3673978545477,-74.76346944938322,-106.74367221507718,-44.051666841812484,-96.79638402632654,-9.688275220121678
